	questionText	intent	answerText
183	"I think adult life is making him depressed and we often sleep in on weekends untill 1 or 2 pm. We just eat, smoke weed, watch movies, and he'll go on his phone all day. He doesn't seem motivated to do much and he's often angry.
    I have no clue how to help him take his mind off the negative, or to distract him into a different light. How do I help him?"	depression	How do you help yourself to believe you require more than what he offers to you?What do you get from this relationship which feels satisfying?To answer this question may in the longterm be the best way to help your bf.
184	My mother is combative with me when I say I don't want to talk with her about my depression.    She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to. She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer. I tell her I don't want to talk and she starts arguments with me.    How can I get her to understand?	depression	Your situation sounds extremely frustrating.You're doing the right move to state you don't want to discuss your depression with her.I guess you could ask if she would like to know your reason to not speak w her about your depression.  If you feel she can handle a reasonable conversation, and you would like to tell her your true reason, then schedule this or bring up the topic at a neutral time, not in the middle of an argument.Having an unsupportive mom is difficult enough to accept.  You may feel greater success and peach of mind to meditate on accepting her lack of understanding than to engage in arguing when she starts this.
213	My depression has been reoccurring for a long time. It all started when I was being bullied in high school. In ninth grade, my principal told me I needed to stay home for a couple days to protect myself while she spoke to my classmates. I needed professional help for my stress because I was having crying spells from the stress of going to school and confronting my classmates. After that, I was fine for a couple of years. I entered my first year of college in a really tough program with high demands of expected work. I believe my depression re-booted from there with the stress. I began to cut myself because a friend of mine at the time told me how she used to do the same and it used to feel good for her. Obviously, that wasn't the right choice. I regret ever doing that, seeing as even though I'm not self-harming anymore, I always look back at that time whenever I feel very stressed. I have a big problem with handling problems in life. Whenever a problem arises, I get stressed and I feel hopeless, as if it's not going to get better. I get way too stressed from my problems, which leads to overreacting a lot (especially when talking to others), which then leads to depression. I have a hard time coping with stress because I know that if I could handle it easily then I wouldn't be sad all the time, and I would say and do the right thing instead of overreacting to my loved ones.	depression	"I couldn't help but notice that you did not specify your age, so I am unable to set the total chronological order and length that you have suffered in this way, but I want to start by commending you on seeking out additional coping techniques on your own.  Unfortunately, it sounds like you were offered some that were more dangerous than helpful, but be proud that you were able to curb those before they caused too much harm. From what you have written, stress has always been a difficult thing for you to manage.  Often, when I am working with those who offer the same concern, there is a degree of people pleasing that comes with that stress.  When we are trying to make others happy, especially when we are unable to distinguish the proper ""rules for success"", it can make even the simplest of tasks overwhelming. Stress management is just that, management; of our own anxieties about the needs of others, about our skills and the ability to complete a task and having multiple requests at any given time. Each of these aspects requires a separate sets of ""tools"" to manage them accordingly. For example, assertiveness communication training could aid in communicating with your colleagues to manage their expectations of your deadlines and abilities, but it will not assist you with managing your own anxieties. Try to separate the different areas of the problem, in order to help yourself to find a solution and work on them in their own time. Perhaps keeping a journal will help you to better understand why you are so easily overwhelmed by stress and help you track some of your less-helpful responses to stress. For example, does a certain person's style of communication always make you feel undervalued and therefore push you to finish their requests first? Is there a certain time of the day where you start to fall off in productivity?  Is that the time fo the day where you also tend to pile up your requirements?Try to ask yourself some of these harder questions and see where they lead you."
214	I've been depressed for quite a while. I've been trying to work through it, and my boyfriend has been my rock. He is honestly the only person I trust enough to talk to about anything, but he decided to break up with me because of my depression. I cannot afford to see a therapist or anything, so he saw no hope in staying with me. My insurance has a $5000 deductible, so I’m screwed. I've had everything from suicidal thoughts to trying to quit my job. I have no one. My family doesn't care about me; they kicked me out when I turned 18 a few years ago. I had friends, but they have all moved on with their lives and have no time for me. My ex-boyfriend is trying to help but is making things worse because every time I see or hear him, I break down into tears. I found out that I will never be promoted now because of my depression.	depression	"It sounds like you have been struggling with this for quite some time, using many of the same coping techniques that feel tried and true to no avail. Often, we fall back on coping techniques that would be helpful in other problems (stress, social anxieties, etc.) for our depression, but the truth is that depression requires it's own little tool kit. Depression is all-encompassing, and, based on what you've written, the symptoms are already affecting work and your personal life in myriad ways.  The best route forward would be to seek out counselling, admittedly, but if your insurance deductible is too high, that can be very expensive. I would recommend contacting your Employee Assistance Program (EAP) if offered by your employer. If not, you can look into community centres for counselling options, check if your doctor will give you a referral or your local religious organization. If, however, you are motivated to get your depression under control, there are some great workbooks out there that you can use on your own or with your therapist (as long as your therapist is trained in Cognitive Behavioural Therapy, or CBT), such as ""Mind Over Mood""."
224	I always feel like I'm doing something wrong. Everything I do is crappy. I want to cry all the time. I can't eat or sleep.	depression	"You are describing some of the most common symptoms of depression: low self esteem, difficulty sleeping, changes in appetite, sad mood, feelings of hopeless and feelings of worthlessness. A full assessment/evaluation with a mental health professional is warranted to understand if indeed you meet criteria for a Major Depressive Disorder i.e.., are delressed. One thing I often tell patients is that ""Do you think you are depressed?"" People often answer yes or no, but many individuals respond with a question: How would I know? To that I often explain that if I stopped watching movies or better, stopped enjoying watching movies that would be a clear indication for me that I am delressed. It would be a sign that I have lost pleasure or interest in the activity that I typically enjoy most . I'll ask you to think of one activity which you really really enjoy.  It could be anything from reading, to being with friends, to skiing to watching tv.  I would like to now ask you if you have stopped enjoying that activity or can't find the motivation to engage in it? This is another symptom of depression: loss in pleasurable activities. The good news is that there are many effective, available treatment if you are indeed in a depression or simply, you want to modify/decrease your depressive symptoms i.e., you want to stop feeling so tired and so worthless. Treatment includes one or more of the following: psychotherapy, medication, exercise. Any one or combination of both of these can help to improve your mood. The even better news is that feeling that you are doing something wrong can diminish with appropriate treatment over time.  I hope you find this information helpful. The most important next step is to get evaluated by a mental health professional typically a psychologist or psychiatrist, and for both you and the professional to better understand your symptoms and your mood in the context of what is going on in your life."
231	I'm in my early 20s. I've worked since two months after I turned 18. I have “plans.” I could become an electrician, or I could operate heavy machinery. I have goals, but I do nothing to try to meet them because I don't feel I can. I just want a better life for my fiancée and the kids than I did.	depression	For starters, commend yourself for being committed to working. You have no idea what is going to happen in the next second, so focusing on thinking you will never have a good career or amount to anything financially is creating a fictitious story.  Remind yourself of that every time the thought pops up.  The false belief that nothing good will happen is sucking out energy you can use on pursuing your career dreams. Next, do you know what you need to do to become an electrician or heavy machinery operator? If not, find out. Then, set up a realistic schedule for yourself to accomplish the steps. As you accomplish each step, see your progress.  Notice that you are moving closer to your goal.  Every day remind yourself why you are pursuing this career.  In fact, write it down and tape it on your bathroom mirror.  When you start to feel discouraged, remember your goal and remind yourself that you have no idea if you'll make it or not but you are going to give it everything you have to find out. Anything worth pursuing is going to take a lot of persistence and hard work. Stay with it! You and your family are worth it!
240	Both of my parents committed suicide together, and I was the one who found them. I suffer from overwhelming depression, which is having an extreme effect on me and my husband’s sex lives. He does not understand at all and is always making me feel so uncomfortable about sex.	depression	Hello, and thank you for your question. First, I want to tell you how sorry I am for the experience you had with your parents. That is a grief and trauma that is certainly hard to imagine. Trauma and grief can affect us in many ways, and certainly deeply personal things like our sex lives. It may be difficult for others to make the connection, but it is there. So, for example, if stress and trauma make you feel like you are not interested in sex, a partner may take it as a personal rejection rather than response to stress, trauma or grief. If your husband will agree to it, couple's counseling may be your best bet. A counselor can help you with your communication and may be able to provide some education to your husband about trauma and how it can have an impact on intimacy. If he doesn't agree to go, it may be worth it to go on your own. You still have a lot you are dealing with yourself. And sometimes our personally therapy can influence others, so it may be a good idea. It is important to remember that even though you are married you have the right to make decisions about your body, and that includes when you want to have sex with it. I hope this is helpful, and some of my colleagues may have ideas, also. Be well.Robin J. Landwehr, DBH, LPC, NCC
241	I have bipolar disorder, paranoid personality disorder, posttraumatic stress disorder, anxiety and obsessive-compulsive disorder. I last self-harmed a week ago. When I am stressed, overwhelmed, hurt, or angry, the urge to self-harm is all I can think of. I am trying to seek help.	depression	Seeking professional help does not mean that you will necessarily be admitted into an inpatient setting - though  to be honest, that can become an option if you feel unsafe or if you are unable to plan for safety. However, many clients who struggle with self-harm can find help in outpatient settings - particularly those which offer a treatment called Dialectical Behavioral Therapy (DBT). Looking for a DBT professional or group therapy setting may be particularly helpful, but a skilled professional can help you to figure out how to identify other options even when you are experiencing overwhelming emotions. Without knowing your location, I also recommend searching to find your local helpline or suicide prevention hotline. The volunteers on the other end of the line can be very helpful even if your intention is not suicide and they are likely also to be able to connect you with resources in your area. Calling into the helpline may also be a first step alternative to self-harming when you're feeling overwhelmed.
242	"I stress over everything. If I don't have enough ""quality time"" with my boyfriend, I start to feel resentment towards him. He has three children, and they are great kids, but I find we don't have much time together. I break down easily and find myself depressed."	depression	"Everyone has some level of anxiety - it's what helps us respond to stressors in our lives and clues us into the fact that we need to respond to something going on. However, if you're feeling overwhelmed by racing thoughts, feeling like you spend a lot of energy worrying about something specific or even pretty much anything at all, and you're starting to find that it's getting in your way when it comes to living your life the way you want, then I'd suggest seeing a counselor or therapist for an assessment for anxiety. Your other concerns, though, seem pretty ""normal"" for someone who is in a relationship with a partner who has children. As a married stepmother, I've been there, and as a therapist, I can tell you that the boundaries and communication skills you have in your relationships need to be healthy for you to feel healthy. Finding some support from a group of others whose partners have children might be really helpful - being able to hear from others that you aren't alone in feeling like this can really lighten the load, and they might have some good ideas for handling certain situations. Another option is to find a counselor or therapist who has experience working with step/blended family dynamics - because even if you're not officially married, those dynamics come into play whenever there are kids from another relationship involved. You may even consider couples counseling so that both of you can learn to talk about your relationship needs and concerns in a way that will encourage connection and strengthen your sense of partnership."
248	I'm depressed and recently went through a break up. It’s like every guy I like only wants me for sex. I think I'm ugly, and sometimes I just want to die. I have a son, and I got really big when I was pregnant. I have stretch marks on my stomach.	depression	If you are currently feeling as if you want to die, please call 800-273-8255 and talk to someone.One way to work on not always thinking so negatively about yourself is to surround yourself with people who are more positive toward you. Do you have friends or family who are supportive?Can you find one part of you that you do not think is ugly?If your stretch marks are still bothering you, talk with a pharmacist or your primary care physician. Sometimes there are creams or lotions you can use to decrease stretch marks and they should be able to guide you in the right direction.You mentioned mostly physical things here. I wonder if you can find one small thing each day that is going right and build from there. Perhaps your son makes you smile?
249	I'm not the same anymore, I don't know how to get back to who I am. I'm sad and confused and angry and tired. I don't sleep well.	depression	Being tired can really affect almost everyone's ability to work through things that make them sad, confused, or angry, among other emotions. If you're having difficulty sleeping, try to get into a habit of going to bed and waking up close to the same time every day. Also consider only using the bed for sleeping so your brain knows that it's time to sleep when you are in bed. If you are not sleeping while you are in bed, consider getting up and reading a book or doing something to make you tired before going back to bed. Hopefully you'll be able to establish a pattern.Sometimes sadness and other emotions make sleeping very difficult as well. Try keeping track of your moods to see what is leading up to the changes.If you're still struggling, consider talking with a therapist about the specifics and/or maybe talking with your primary care physician. There are natural sleep remedies that he or she may recommend for you.
250	Over the years, I have slowly lost everything: my jobs, my cars, my freedom, and my money. I am a stay-at-home mom who doesn't make any money, doesn't have a car, never goes out, and cleans all day long everyday.	depression	There are an infinite number of possibilities here. You included a lot of things that you don't have. Is there anyway that you can have some freedom for a few hours a week, at least? A lot of times stay at home moms have groups when they meet at different public places where their children can play together and they can talk together. I don't know how old your child or children is/are, but perhaps going back to work is something that can happen in the future.I wonder if you may consider who you have in your life who can support you. I don't know whether you have a spouse or parents or siblings who could help out with some different things. I wonder if you could consider where you would like to go if you had two or three hours that you could do whatever you wanted? If you can sort out some possible answers to that, maybe you can work together with friends or family to make it happen.Also, again depending on the age of your children, some parents can do things while the children are sleeping, even if you are in the same room. For example, if your children are sleeping for about two hours, maybe 30 minutes of that could be reserved for you and the rest could be for cleaning or other things you need to do.
251	I don't have time to live or take care of myself at times. It's causing depression, stress, and anxiety. I don't know what to do.	depression	I'm not sure whether you are referring to having a lot of activities after school or that homework is overwhelming. Can you set aside a couple hours a week for yourself as a place to start?
252	Two years ago, I was separated from the military into my contract for medical issues. It has emotionally destroyed me. I now basically hate myself. It's embarrassing to be separated from the one place who takes anyone. My family has been in the armed forces, and it has always been my dream. I can't do this alone anymore, and now my family is even worried.	depression	It sounds like being separated from the armed forces is a major loss for you. It takes some time to work through the emotions related to this and it often takes longer if you are trying to work through it without a lot of support.Is there a task that you were doing during your military service that can in some way transfer into civilian life? I don't know what else your life involves, whether you have close friends or a romantic partner, a career, activities that you like to do, and many other things. You may be able to use some of the things that you still have today as a way to start moving forward in a different direction.Your military service will always be a part of you. Thank you for your service.
253	I feel depressed even though I act like a happy with my family. I act like I’m happy so my son doesn’t see me sad. I act like my life is a happy life, but I feel sad and depressed. I sometimes think of killing myself and that my family deserve someone better than me. I just cry and write in my book all these feelings.	depression	It sounds like you have several different things happening at the same time. I would encourage you to call and speak to a local therapist. If you are having thoughts of killing yourself in this moment, please call 800-273-8255 and talk to someone.While I follow that you would like your son to be unaware of what you are going through, that doesn't mean that you can't discuss your feelings with someone else. Who is it that you trust or could speak with about this? A therapist could be one person, but perhaps there is someone else in your life as well.One thing that may help is to find a bead or rock that is smooth and you can hold onto it while thinking of a specific memory where you were happy. This could be from as long ago as necessary as long as it is specific and you can place yourself back in that time when you are thinking about it. If you think about this time while holding onto the bead, the bead may remind you of a time when you felt happy. You could do the same thing for a time when you felt comfortable and safe.Have you recognized any patterns for what is leading you to be sad?Can you think of anything that makes you feel good, even if it only works for a few minutes?
254	I think i may suffer from depression, and it is affecting my life and sleep. I am on my parent's insurance, and they won't let me see a therapist because they don't believe in it.	depression	"The answer here really depends upon your age and something called the ""age of consent"" in the state where you live. In Pennsylvania, anyone over the age of 14 can provide consent for their own treatment. As for billing purposes, try talking to some local agencies. If you are under 18, you may be able to have Medicaid out of medical necessity so that you can have treatment. If you are over 18, there may be some discounted rates at some agencies because of the situation you're in. Maybe your primary care physician will be able to refer you to some local agencies.If you are in school, you may be able to talk with a guidance counselor or someone at the school. This would not require using your insurance."
255	When I'm sad and alone, I want to cut myself.	depression	Try doing something physical. If you haven't exercised before, it is a good idea to get your doctor's approval first, but this can be helpful.The more you can find out about when you want to cut, the easier it will be to figure out what else you can do. If you are feeling sad or angry or nervous, look at what is leading up to those feelings and talk to someone about that.You said you are alone. I would see if you can find someone that you can trust to talk with about what you are going through. This could be a parent, a friend, someone at school, a coworker, or any number of other people.
256	I stopped for a while, but I’ve started doing it again. It’s like an addiction. The more I try to stop, the more I want to do it. I’ve tried doing some of the stuff they say to do like draw, but it doesn’t work.	depression	I've heard people say that they cut themselves as a way to feel relief from different emotions. You're also right that when you try to focus on just not cutting, it becomes more difficult because it's what you are focused on. While that is still something to work on, it may also be helpful to find something else you can do instead. You said drawing doesn't work for you. Sometimes more physical activities, such as doing a few jumping jacks, can be helpful. If you don't exercise, it might be something to talk with your doctor about first.The more you can learn about what makes you want to cut, the easier it will be to find out what you could do to change that. Try talking to somebody about what you are feeling in addition to the urge to cut.
257	I have friends, family, I live in a good home, I go to a nice high school, and I get pretty good grades, but I don’t know why I'm so unhappy. These friends are my best friends and they’re all amazing people, and yet I'm sad all the time and feel alone.	depression	I wonder if you have moments where you feel happy?You say you have amazing friends. I wonder if you get along with them and feel as though you can be yourself around them.Sometimes we put a lot of pressure on ourselves to do really well at everything all the time and this can be overwhelming sometimes. Where do you have support? I hope you can tell someone that you are feeling sad so that you can talk about your feelings.Sleeping can make a big difference as far as feeling sad as well. If you're not sleeping well at night, that could be a big part of feeling sad a lot.Perhaps you could try to find a person or two who makes you feel totally safe and comfortable and try to talk with them.
258	I used to be the funny guy of the group—the class clown, if you will. I used to laugh uncontrollably all the time and be able to be social without it feeling awkward. Now I can't laugh at all, and I'm dead inside.	depression	"If you look back to when you feel as though you were the ""funny guy,"" I wonder what is different now? It may be that responsibilities have changed or any number of other things.I don't know whether you're also saying that you feel sad or if you're saying that you feel as though you don't have any big changes in your feelings.A lot of us tend to be really busy, and sometimes we over schedule ourselves to the point that we don't have time to have positive time for ourselves. Sometimes even if we are spending time with friends, we're thinking about work and all of the other things we need to do.I wonder if it feels awkward when you're with friends that you trust in an environment that you are used to. Maybe if that is more comfortable for you, it can be a stepping stone to focusing on how you feel better in those moments.It sounds as if you may have had an experience (or more than one) where you felt misunderstood or criticized and now reacting to people feels awkward. If so, try going back to people you trust. Who do you have support from?"
259	I'm starting to think that I might have depression. The thing is though, I'm not exactly sad. I can joke with my friends and stuff, but I've stopped caring about my work, and I've been starting to think that life is pointless. I really have no clue if I need help, or if I'm just tired or something.	depression	It is possible that you have depression, but you could also be experiencing some other changes that mean that you have feelings of being sad without actually being depressed. Your statement makes it sound like you've stopped caring about your work, but you're still going to work and doing your work. It almost sounds like you are dissatisfied with your work. Do you like what you do? When you said that life is pointless, what makes it that way? What is keeping you going? Is there something you can do each day that you can find meaning in?You mentioned that you are not sure if you need help or are just tired. It sounds like you could certainly benefit from talking with someone about more specifics.I'm curious about how long you have felt this way and if you are aware of anything that is contributing to it.
260	In the last ten months, I've been kicked out, moved around three times, worked many jobs, stopped school to make money, had dad and mom get sick, was cheated on while pregnant, lost my baby, had relationship issues, and was betrayed. I can't get a job. I have no friends. I feel lonely and isolated. I've been dealing with all this by myself.	depression	One thing that may help is to focus on small things that you do have control over. If you can hold onto that sense of having control over what you wear or what you choose to eat or where you go during the day, this may help you be able to look at what is currently most important for you and consider different choices. For example, you say you can't get a job, but I wonder if you could work with and local agencies to help you find a job, like Career Link. You say you have no friends currently. Are there any previous friends that you can get back in contact with?You mentioned that you have no friends. Is there anyone in your life that you can talk with, even if it's not someone that you consider a closest friend?
261	I've been feeling worthless, unaccomplished, and so frustrated. I want to break things, hit myself, run away, kick, scream, and cry. I just want to be happy and outgoing again. I want to be able to take care of my daughter and live comfortably.	depression	"Philadelphia, there is help out there. For your daughter's sake, start somewhere. Feelings are only that; your worst fears about who you are are only based on a few moments that haven't gone well. Depression is so treatable, but you have to seek treatment from a professional.Here's a quick exercise for you to do that can show you how therapy might work... fear is telling you the worst possible story of your life, right? So... if there was an opposite story...the very best story that someone could tell about you and your life...what would that be? Who would be telling it? Someone who loves you? Someone who was around you when you were that outgoing person? Someone who's been watching your life from the start? God? Write that best story. I dare you to give it as much credibility as the worst one. Therapy is often about helping people reject their ""worst stories"". I invite you to start exploring with a qualified therapist whatever barriers stand between you and your best life. I hope you reach out soon. :)"
262	I keep feeling paralyzed and unsure during interviews. Previous jobs have fired me for lack of performance, and five employers have rejected me after extensive personality tests and interviews. I'm afraid of continuing because my depression is getting worse. I'm already humiliated working for temp agencies and doubt my self-worth as a provider for my family.	depression	It sounds like you are feeling pretty overwhelmed and stuck between wanting to improve your work situation and worrying that you won't be able to. It is possible that the paralysis, uncertainty, and self-doubt that you describe are contributing to your difficulty in getting  and maintaining a satisfying job as employers generally like to see that a potential employee is confident and can think on his or her feet. With a competent therapist, you may be able to get more understanding of the roots of these feelings and learn how to move forward in your search for a better work life in a way that leaves you feeling confident and capable.
